gs,woodiness,woodiness.count
Protea decurrens,W,0;0;1
Protea denticulata,W,0;0;1
Protea eximia,W,0;0;1
Protea glabra,W,0;0;4
Protea grandiflora,W,0;0;1
Protea heckmanniana,W,0;0;1
Protea humiflora,W,0;0;1
Protea laevis,W,0;0;1
Protea lanceolata,W,0;0;1
Protea latifolia,W,0;0;1
Protea laurifolia,W,0;0;20
Protea longifolia,W,0;0;1
Protea lorifolia,W,0;0;1
Protea madiensis,W,0;0;2
Protea magnifica,W,0;0;1
Protea marginata,W,0;0;1
Protea mellifera,W,0;0;1
Protea mundi,W,0;0;1
Protea namaquana,W,0;0;1
Protea nana,W,0;0;1
Protea nerifolia,W,0;0;1
Protea neriifolia,W,0;0;25
Protea nitida,W,0;0;17
Protea obtusifolia,W,0;0;1
Protea odorata,W,0;0;1
Protea petiolaris,W,0;0;1
Protea pityphylla,W,0;0;1
Protea punctata,W,0;0;1
Protea recondita,W,0;0;1
Protea repens,W,0;0;24
Protea restionifolia,W,0;0;1
Protea rosacea,W,0;0;1
Protea roupelliae,W,0;0;1
Protea scabra,W,0;0;1
Protea scolopendriifolium,W,0;0;1
Protea scorzonerifolia,W,0;0;1
Protea speciosa,W,0;0;4
Protea subulifolia,W,0;0;1
Protea subvestita,W,0;0;1
Protea susannae,W,0;0;4
Protea welwitschii,W,0;0;1
Protea witzenbergiana,W,0;0;1
Protium altsonii,W,0;0;2
Protium amazonicum,W,0;0;2
Protium apiculatum,W,0;0;2
Protium aracouchini,W,0;0;10
Protium bangii,W,0;0;1
Protium brasiliense,W,0;0;2
Protium brillanodu,W,0;0;1
Protium calanense,W,0;0;1
Protium carnosum,W,0;0;4
Protium copal,W,0;0;1
Protium correae,W,0;0;2
Protium costaricense,W,0;0;5
Protium crassifolium,W,0;0;1
Protium crassipetalum,W,0;0;3
Protium crenatum,W,0;0;1
Protium cuneatum,W,0;0;1
Protium decandrum,W,0;0;6
Protium demerarense,W,0;0;1
Protium divaricatum,W,0;0;1
Protium fimbriatum,W,0;0;2
Protium gallicum,W,0;0;1
Protium gallosum,W,0;0;1
Protium glabrescens,W,0;0;1
Protium glabrum,W,0;0;2
Protium grandifolium,W,0;0;2
Protium grannodu,W,0;0;1
Protium guianense,W,0;0;2
Protium hebetatum,W,0;0;1
Protium heptaphyllum,W,0;0;10
Protium insigne,W,0;0;2
Protium javanicum,W,0;0;1
Protium kleinii,W,0;0;3
Protium krukoffii,W,0;0;1
Protium laxiflorum,W,0;0;1
Protium llewelyni,W,0;0;1
Protium neglectum,W,0;0;4
Protium nodulosum,W,0;0;5
Protium obtusifolium,W,0;0;1
Protium opacum,W,0;0;7
Protium pallidum,W,0;0;1
Protium panamense,W,0;0;12
Protium paniculatum,W,0;0;6
Protium paraense,W,0;0;1
Protium pedicellatum,W,0;0;1
Protium pilosissimum,W,0;0;1
Protium pittieri,W,0;0;3
Protium plagiocarpium,W,0;0;1
Protium poeppigianum,W,0;0;1
Protium polybotryum,W,0;0;2
Protium puncticulatum,W,0;0;2
Protium robustum,W,0;0;11
Protium rubrum,W,0;0;2
Protium sagotianum,W,0;0;10
Protium spruceanum,W,0;0;4
Protium strumosum,W,0;0;1
Protium subserratum,W,0;0;5
Protium tenuifolium,W,0;0;20
Protium trifoliolatum,W,0;0;6
Protium unifoliolatum,W,0;0;2
Protomegabaria stapfiana,W,0;0;4
Protorhus ditimena,W,0;0;2
Protorhus longifolia,W,0;0;1
Protorhus sericea,W,0;0;1
Protorhus thouarsii,W,0;0;1
Proustia cinerea,W,0;0;2
Proustia pyrifolia,W,0;0;1
Prumnopitys amara,W,0;0;2
Prumnopitys andina,W,0;0;3
Prumnopitys ferruginea,W,0;0;22
Prumnopitys ferruginoides,W,0;0;1
Prumnopitys harmsiana,W,0;0;1
Prumnopitys ladei,W,0;0;2
Prumnopitys montana,W,0;0;1
Prumnopitys standleyi,W,0;0;1
Prumnopitys taxifolia,W,0;0;20
Prunella grandiflora,H,2;0;0
Prunella hyssopifolia,H,1;0;0
Prunella laciniata,H,2;0;0
Prunella orientalis,H,1;0;0
Prunella vulgaris,H,17;0;0
Prunus acuminata,W,0;0;1
Prunus africana,W,0;0;6
Prunus americana,W,0;0;1
Prunus andersonii,W,0;0;2
Prunus annularis,W,0;0;4
Prunus ansu,W,0;0;1
Prunus apetala,W,0;0;1
Prunus arborea,W,0;0;5
Prunus armeniaca,W,0;0;3
Prunus avium,W,0;0;17
Prunus brachybotrya,W,0;0;2
Prunus brachypoda,W,0;0;1
Prunus brasiliensis,W,0;0;1
Prunus buergeriana,W,0;0;3
Prunus campanulata,W,0;0;1
Prunus caroliniana,W,0;0;1
Prunus cerasifera,W,0;0;3
Prunus cerasoides,W,0;0;2
Prunus cerasus,W,0;0;7
Prunus ceylanica,W,0;0;1
Prunus choreiana,W,0;0;1
Prunus clarofolia,W,0;0;1
Prunus cocomilia,W,0;0;1
Prunus communis,W,0;0;1
Prunus conradinae,W,0;0;2
Prunus cornuta,W,0;0;1
Prunus cortapico,W,0;0;1
Prunus davidiana,W,0;0;8
Prunus debilis,W,0;0;3
Prunus domestica,W,0;0;4
Prunus dulcis,W,0;0;1
Prunus emarginata,W,0;0;6
Prunus fasciculata,W,0;0;6
Prunus ferruginea,W,0;0;1
Prunus gazelle-peninsulae,W,0;0;1
Prunus glandulosa,W,0;0;1
Prunus grisea,W,0;0;2
Prunus guanaiensis,W,0;0;1
Prunus holosericea,W,0;0;1
Prunus incana,W,0;0;1
Prunus incisa,W,0;0;1
Prunus insititia,W,0;0;1
Prunus japonica,W,0;0;1
Prunus javanica,W,0;0;3
Prunus korshinskyi,W,0;0;1
Prunus latifolia,W,0;0;1
Prunus laurocerasus,W,0;0;14
Prunus leveilleana,W,0;0;1
Prunus lundelliana,W,0;0;3
Prunus lusitanica,W,0;0;15
Prunus lyonii,W,0;0;1
Prunus maackii,W,0;0;1
Prunus mahaleb,W,0;0;16
Prunus maritima,W,0;0;1
Prunus martabanica,W,0;0;1
Prunus mexicana,W,0;0;2
Prunus myrtifolia,W,0;0;5
Prunus napaulensis,W,0;0;1
Prunus novoleontis,W,0;0;1
Prunus padus,W,0;0;12
Prunus parvifolia,W,0;0;1
Prunus pensylvanica,W,0;0;20
Prunus persica,W,0;0;4
Prunus perulata,W,0;0;1
Prunus phaeosticta,W,0;0;2
Prunus pissardi,W,0;0;1
Prunus polystachya,W,0;0;2
Prunus prostrata,W,0;0;1
Prunus pseudocerasus,W,0;0;1
Prunus pullei,W,0;0;2
Prunus pumila,W,0;0;6
Prunus ramburei,W,0;0;1
Prunus rhamnoides,W,0;0;1
Prunus rigida,W,0;0;2
Prunus rufa,W,0;0;1
Prunus salicina,W,0;0;2
Prunus sargentii,W,0;0;5
Prunus schlechteri,W,0;0;1
Prunus sellowii,W,0;0;3
Prunus serotina,W,0;0;71
Prunus spinosa,W,0;0;34
Prunus spinulosa,W,0;0;3
Prunus ssiori,W,0;0;6
Prunus subcordata,W,0;0;3
Prunus subhirtella,W,0;0;1
Prunus takesimensis,W,0;0;1
Prunus tomentosa,W,0;0;2
Prunus topengii,W,0;0;1
Prunus triloba,W,0;0;1
Prunus tucumanensis,W,0;0;2
Prunus turneriana,W,0;0;6
Prunus undulata,W,0;0;1
Prunus ursina,W,0;0;1
Prunus ussuriensis,W,0;0;1
Prunus virginiana,W,0;0;23
Prunus yedoensis,W,0;0;1
Prunus zippeliana,W,0;0;1
Przewalskia tangutica,H,2;0;0
Psammisia ecuadorensis,W,0;0;1
Psammisia sclerantha,W,0;0;1
Psammisia sodiroi,W,0;0;1
Psammisia ulbrichiana,W,0;0;1
Psammochloa mongolica,H,7;0;0
Psammochloa villosa,H,1;0;0
Psammomoya choretroides,W,0;0;1
Psathura terniflora,W,0;0;1
Psathyrostachys caduca,H,1;0;0
Psathyrostachys fragilis,H,1;0;0
Psathyrostachys huashanica,H,1;0;0
Psathyrostachys juncea,H,1;0;0
Psathyrostachys lanuginosa,H,1;0;0
Psathyrostachys rupestris,H,1;0;0
Psathyrostachys stoloniformis,H,1;0;0
Psathyrotes annua,W,0;0;1
Psedera quinquefolia,W,0;0;1
Pseudagrostistachys ugandensis,W,0;0;1
Pseudalbizzia berteroana,W,0;0;1
Pseudanthistiria umbellata,H,1;0;0
Pseudanthus micranthus,W,0;0;1
Pseudartabotrys letestui,W,0;0;1
Pseudechinolaena camusiana,H,1;0;0
Pseudechinolaena perrieri,H,1;0;0
Pseudechinolaena polystachya,H,1;0;0
Pseudeminia comosa,H,1;0;0
Pseudephedranthus fragrans,W,0;0;1
Pseuderanthemum cuspidatum,H,1;0;0
Pseuderanthemum variabile,H,6;0;0
Pseuderia smithiana,H,1;0;0
Pseudima frutescens,W,0;0;3
Pseudima mollis,W,0;0;1
Pseudobaccharis spartioides,W,0;0;1
Pseudobaeckea africana,W,0;0;1
Pseudobaeckea cordata,W,0;0;1
Pseudobersama mossambicensis,W,0;0;1
Pseudobombax ellipticum,W,0;0;2
Pseudobombax grandiflorum,W,0;0;1
Pseudobombax marginatum,W,0;0;1
Pseudobombax munguba,W,0;0;3
Pseudobombax septenatum,W,0;0;12
Pseudobombax simplicifolium,W,0;0;1
Pseudocamelina campylopoda,H,1;0;0
Pseudocarapa championii,W,0;0;1
Pseudocarapa nitidula,W,0;0;1
Pseudocaryophyllus emarginatus,W,0;0;1
Pseudocaryopteris paniculata,W,0;0;1
Pseudocatalpa caudiculata,W,0;0;1
Pseudocedrela kotschyi,W,0;0;2
Pseudoclappia arenaria,W,0;0;1
Pseudoclausena chrysogyne,W,0;0;1
Pseudoconyza viscosa,H,1;0;0
Pseudodiphasium volubile,H,1;0;0
Pseudodracontium harmandii,H,1;0;0
Pseudodracontium lanceolatum,H,1;0;0
Pseudogaillonia hymenostephana,W,0;0;1
Pseudogaltonia clavata,H,1;0;0
Pseudognaphalium luteoalbum,H,3;0;0
Pseudolachnostylis maprouneifolia,W,0;0;3
Pseudolaelia vellozicola,H,1;0;0
Pseudolarix amabilis,W,0;0;4
Pseudolmedia glabrata,W,0;0;1
Pseudolmedia laevigata,W,0;0;14
Pseudolmedia laevis,W,0;0;45
Pseudolmedia macrophylla,W,0;0;9
Pseudolmedia oxyphyllaria,W,0;0;11
Pseudolmedia rigida,W,0;0;6
Pseudolmedia spuria,W,0;0;6
Pseudolycopodiella affinis,H,1;0;0
Pseudolycopodiella brevipedunculata,H,1;0;0
Pseudolycopodiella contexta,H,1;0;0
Pseudolycopodiella goyazensis,H,1;0;0
Pseudolycopodiella sarcocaulon,H,1;0;0
Pseudolycopodiella tatei,H,1;0;0
Pseudolycopodium densum,H,1;0;0
Pseudomalmea diclina,W,0;0;6
Pseudomussaenda flava,W,0;0;1
Pseudonemacladus oppositifolius,H,1;0;0
Pseudopanax anomalus,W,0;0;5
Pseudopanax arboreus,W,0;0;7
Pseudopanax axilaris,W,0;0;1
Pseudopanax colensoi,W,0;0;22
Pseudopanax crassifolius,W,0;0;41
Pseudopanax ferox,W,0;0;3
Pseudopanax laetevirens,W,0;0;3
Pseudopanax lessonii,W,0;0;1
Pseudopanax macintyrei,W,0;0;1
Pseudopanax simplex,W,0;0;15
Pseudopentameris macrantha,H,1;0;0
Pseudophoenix ekmanii,W,0;0;1
Pseudophoenix lediniana,W,0;0;1
Pseudophoenix poccae,W,0;0;3
Pseudophoenix sargentii,W,0;0;1
Pseudophoenix vinifera,W,0;0;2
Pseudopiptadenia pittieri,W,0;0;2
Pseudopiptadenia suaveolens,W,0;0;11
Pseudoplantago friesii,H,1;0;0
Pseudoprosopis gilletii,W,0;0;1
Pseudoprospero firmifolium,H,1;0;0
Pseudoraphis depauperata,H,1;0;0
Pseudoraphis paradoxa,H,1;0;0
Pseudosabicea arborea,W,0;0;1
Pseudosalacia streyi,W,0;0;1
Pseudosamanea guachapele,W,0;0;1
Pseudosasa amabilis,W,0;0;1
Pseudosasa japonica,W,0;0;3
Pseudosciadium balansae,W,0;0;1
Pseudosclerochloa rupestris,H,1;0;0
Pseudoselago ascendens,H,1;0;0
Pseudoselago serrata,H,1;0;0
Pseudosenefeldera inclinata,W,0;0;1
Pseudosindora palustris,W,0;0;1
Pseudosmodingium multifolium,W,0;0;1
Pseudosmodingium perniciosum,W,0;0;2
Pseudospondias microcarpa,W,0;0;2
Pseudostreblus indica,W,0;0;1
Pseudotaxus chienii,W,0;0;1
Pseudotrillium rivale,H,1;0;0
Pseudotrimezia itacambirae,H,1;0;0
Pseudotrimezia recurvata,H,1;0;0
Pseudotrimezia synandra,H,1;0;0
Pseudotrimezia tenuissima,H,1;0;0
Pseudotsuga macrocarpa,W,0;0;1
Pseudotsuga menziesii,W,0;0;113
Pseudotsuga sinensis,W,0;0;2
Pseudovanilla foliata,H,1;0;0
Pseudovanilla ponapensis,H,1;0;0
Pseudovigna argentea,H,1;0;0
Pseudoweinmannia lachnocarpa,W,0;0;8
Pseudowintera axillaris,W,0;0;2
Pseudowintera colorata,W,0;0;42
Pseudowintera traversii,W,0;0;1
Pseudoxandra bahiensis,W,0;0;1
Pseudoxandra guianensis,W,0;0;1
Pseudoxandra lucida,W,0;0;1
Pseudoxandra pacifica,W,0;0;1
Pseudoxandra polyphleba,W,0;0;4
Pseudoxandra spiritus,W,0;0;1
Pseuduvaria brachyantha,W,0;0;1
Pseuduvaria coriacea,W,0;0;1
Pseuduvaria indochinensis,W,0;0;1
Pseuduvaria latifolia,W,0;0;1
Pseuduvaria pamattonis,W,0;0;1
Pseuduvaria reticulata,W,0;0;1
Pseuduvaria rugosa,W,0;0;2
Pseuduvaria villosa,W,0;0;1
Psidium acutangulum,W,0;0;9
Psidium amplexicaule,W,0;0;1
Psidium anglohondurense,W,0;0;1
Psidium cattleianum,W,0;0;15
Psidium cattleyanum,W,0;0;1
Psidium friedrichsthalianum,W,0;0;5
Psidium galapageium,W,0;0;1
Psidium guajava,W,0;0;24
Psidium guianense,W,0;0;1
Psidium guineense,W,0;0;1
Psidium ilex,W,0;0;1
Psidium jollyanum,W,0;0;1
Psidium longipes,W,0;0;1
Psidium pomiferum,W,0;0;1
Psidium sartorianum,W,0;0;3
Psiguria bignoniacea,W,0;0;2
Psiguria racemosa,H,1;0;0
Psiguria umbrosa,H,1;0;0
Psilanthus balearicum,H,1;0;0
Psilanthus creticum,H,1;0;0
Psilanthus ebracteolatus,W,0;0;1
Psilanthus leroyi,W,0;0;1
Psilanthus mannii,W,0;0;1
Psilanthus repandum,H,1;0;0
Psilocaulon parviflorum,W,0;0;1
Psilostrophe gnaphalodes,variable,0;1;0
Psilotrichum ferrugineum,H,1;0;0
Psilotrichum sericeum,W,0;0;1
Psilotum complanatum,H,1;0;0
Psilotum nudum,H,5;0;0
Psiloxylon mauritianum,W,0;0;2
Psittacanthus angustifolius,W,0;0;1
Psittacanthus collum-cygni,W,0;0;2
Psittacanthus dichroos,W,0;0;1
Psophocarpus scandens,H,1;0;0
Psophocarpus tetragonolobus,H,1;0;0
Psoralea aculeata,W,0;0;1
Psoralea australasica,H,2;0;0
Psoralea bituminosa,H,11;0;7
Psoralea cinerea,H,1;0;0
Psoralea patens,H,1;0;0
Psoralea simplicifolia,W,0;0;1
Psoralea tenuiflora,H,4;0;0
Psoralidium tenuiflorum,H,1;0;0
Psorospermum febrifugum,W,0;0;2
Psorothamnus arborescens,W,0;0;4
Psorothamnus fremontii,W,0;0;3
Psorothamnus polydenius,W,0;0;1
Psorothamnus spinosus,W,0;0;1
Psychilis krugii,H,1;0;0
Psychilis macconnelliae,H,1;0;0
Psychopsis papilio,H,1;0;0
Psychotria acuminata,W,0;0;4
Psychotria alsophila,W,0;0;1
Psychotria amboniana,W,0;0;2
Psychotria apoda,W,0;0;1
Psychotria asiatica,W,0;0;1
Psychotria berteroana,W,0;0;4
Psychotria biaristata,W,0;0;1
Psychotria brachiata,W,0;0;3
Psychotria brachybotrya,W,0;0;4
Psychotria caerulea,W,0;0;1
Psychotria capensis,W,0;0;6
Psychotria capitata,W,0;0;2
Psychotria carthagenensis,W,0;0;4
Psychotria celebica,W,0;0;1
Psychotria chagrensis,W,0;0;8
Psychotria chiapensis,W,0;0;10
Psychotria corymbosa,W,0;0;5
Psychotria costivenia,W,0;0;1
Psychotria crassipetala,W,0;0;1
Psychotria crispipila,W,0;0;1
Psychotria cuspidata,W,0;0;1
Psychotria dallachiana,W,0;0;2
Psychotria deflexa,W,0;0;5
Psychotria dolichophylla,W,0;0;1
Psychotria dolphiniana,W,0;0;1
Psychotria dracula,W,0;0;1
Psychotria ealaensis,W,0;0;1
Psychotria elata,W,0;0;5
Psychotria emetica,W,0;0;3
Psychotria eurycarpa,W,0;0;2
Psychotria faucicola,W,0;0;1
Psychotria faxlucens,W,0;0;10
Psychotria flava,W,0;0;9
Psychotria foetida,W,0;0;2
Psychotria furcata,W,0;0;5
Psychotria glabrata,W,0;0;1
Psychotria goetzei,W,0;0;1
Psychotria graciliflora,W,0;0;5
Psychotria granadensis,W,0;0;1
Psychotria grandis,W,0;0;4
Psychotria guadalupensis,W,0;0;1
Psychotria guapilensis,W,0;0;1
Psychotria hainanensis,W,0;0;1
Psychotria hazenii,W,0;0;1
Psychotria herzogii,W,0;0;1
Psychotria hoffmannseggiana,W,0;0;2
Psychotria horizontalis,W,0;0;6
Psychotria ipecacuanha,W,0;0;1
Psychotria kirkii,W,0;0;1
Psychotria lauracea,W,0;0;1
Psychotria leptothyrsa,W,0;0;1
Psychotria ligustrifolia,W,0;0;1
Psychotria limonensis,W,0;0;8
Psychotria loniceroides,W,0;0;14
Psychotria luxurians,W,0;0;2
Psychotria mahonii,W,0;0;1
Psychotria maleolens,W,0;0;1
Psychotria marginata,W,0;0;11
Psychotria maricaensis,W,0;0;1
Psychotria mariniana,W,0;0;2
Psychotria micralabastra,W,0;0;1
Psychotria micrantha,W,0;0;3
Psychotria microbotrys,W,0;0;2
Psychotria micrococca,W,0;0;1
Psychotria nervosa,W,0;0;1
Psychotria nuda,W,0;0;1
Psychotria orophila,W,0;0;1
Psychotria panamensis,W,0;0;2
Psychotria pandurata,H,1;0;0
Psychotria papantlensis,W,0;0;3
Psychotria pedunculata,W,0;0;1
Psychotria penangensis,W,0;0;1
Psychotria peteri,W,0;0;1
Psychotria pittieri,W,0;0;3
Psychotria poeppigiana,W,0;0;5
Psychotria pseudoplatyphylla,W,0;0;2
Psychotria psychotriifolia,W,0;0;2
Psychotria psychotrioides,W,0;0;1
Psychotria pubescens,W,0;0;3
Psychotria racemosa,W,0;0;4
Psychotria ramuensis,W,0;0;1
Psychotria rubra,W,0;0;7
Psychotria sarapiquensis,W,0;0;2
Psychotria simiarum,W,0;0;9
Psychotria simmondsiana,W,0;0;6
Psychotria sloanei,W,0;0;2
Psychotria suerrensis,W,0;0;4
Psychotria sulzneri,W,0;0;2
Psychotria tenuifolia,W,0;0;2
Psychotria uliginosa,W,0;0;2
Psychotria vellosiana,W,0;0;1
Psychotria viridis,W,0;0;1
Psychotria vogeliana,W,0;0;1
Psychotria zombamontana,W,0;0;1
Psychrophila leptosepala,H,5;0;0
Psychrophila novae,H,1;0;0
Psydrax faulknerae,W,0;0;2
Psydrax horizontalis,W,0;0;2
Psydrax latifolia,W,0;0;1
Psydrax livida,W,0;0;1
Psydrax obovata,W,0;0;1
Psydrax odorata,W,0;0;2
Psydrax parviflora,W,0;0;3
Psydrax polhillii,W,0;0;1
Psydrax schimperiana,W,0;0;2
Psydrax splendens,W,0;0;1
Psydrax suaveolens,W,0;0;1
Psydrax subcordata,W,0;0;2
Psylliostachys suworowii,H,1;0;0
Psyllocarpus laricoides,H,1;0;0
Ptaeroxylon obliquum,W,0;0;6
Ptaeroxylon utile,W,0;0;1
Ptelea crenulata,W,0;0;1
Pteleocarpa lamponga,W,0;0;2
Pteleocarpa malaccensis,W,0;0;1
Pteleopsis diptera,W,0;0;1
Pteleopsis hylodendron,W,0;0;4
Pteleopsis myrtifolia,W,0;0;8
Pteleopsis tetraptera,W,0;0;1
Pteralyxia kauaiensis,W,0;0;1
Pterandra arborea,W,0;0;1
Pteridium aquilinum,H,3;0;0
Pteridium esculentum,H,1;0;0
Pteridophyllum racemosum,H,1;0;0
Pteris acanthoneura,H,1;0;0
Pteris actiniopteroides,H,2;0;0
Pteris altissima,H,2;0;0
Pteris amoena,H,1;0;0
Pteris angustata,H,1;0;0
Pteris angustipinna,H,1;0;0
Pteris angustipinnula,H,1;0;0
Pteris arisanesis,H,1;0;0
Pteris aspericaulis,H,4;0;0
Pteris atrovirens,H,1;0;0
Pteris austrosinica,H,1;0;0
Pteris bahamensis,H,1;0;0
Pteris bakeri,H,1;0;0
Pteris baksaensis,H,1;0;0
Pteris balansae,H,1;0;0
Pteris bella,H,1;0;0
Pteris berteroana,H,1;0;0
Pteris biaurita,H,2;0;0
Pteris blumeana,H,1;0;0
Pteris bomiensis,H,1;0;0
Pteris brasiliensis,H,1;0;0
Pteris brausei,H,1;0;0
Pteris brevisora,H,1;0;0
Pteris buchananii,H,1;0;0
Pteris burtonii,H,1;0;0
Pteris cadieri,H,3;0;0
Pteris caiyangheensis,H,1;0;0
Pteris camerooniana,H,1;0;0
Pteris catoptera,H,3;0;0
Pteris chiapensis,H,1;0;0
Pteris chilensis,H,1;0;0
Pteris comans,H,1;0;0
Pteris confertinervia,H,1;0;0
Pteris consanguinea,H,1;0;0
Pteris coriacea,H,1;0;0
Pteris crassiuscula,H,1;0;0
Pteris cretica,H,4;0;0
Pteris cryptogrammoides,H,1;0;0
Pteris dactylina,H,1;0;0
Pteris daguensis,H,1;0;0
Pteris decrescens,H,1;0;0
Pteris decurrens,H,1;0;0
Pteris deflexa,H,2;0;0
Pteris deltodon,H,1;0;0
Pteris dentata,H,3;0;0
Pteris denticulata,H,1;0;0
Pteris dispar,H,1;0;0
Pteris dissitifolia,H,1;0;0
Pteris ensiformis,H,4;0;0
Pteris esquirolii,H,2;0;0
Pteris excelsa,H,4;0;0
Pteris fauriei,H,2;0;0
Pteris finotii,H,1;0;0
Pteris formosana,H,1;0;0
Pteris fraseri,H,1;0;0
Pteris friesii,H,1;0;0
Pteris gallinopes,H,1;0;0
Pteris geminata,H,1;0;0
Pteris gigantea,H,1;0;0
Pteris gracillima,H,1;0;0
Pteris grandifolia,H,2;0;0
Pteris guangdongensis,H,1;0;0
Pteris guizhouensis,H,1;0;0
Pteris haenkeana,H,1;0;0
Pteris hamulosa,H,2;0;0
Pteris hekouensis,H,1;0;0
Pteris henryi,H,1;0;0
Pteris heteroclita,H,2;0;0
Pteris heteromorpha,H,1;0;0
Pteris hexagona,H,1;0;0
Pteris hirsutissima,H,1;0;0
Pteris hui,H,1;0;0
Pteris hunanensis,H,1;0;0
Pteris inermis,H,1;0;0
Pteris insignis,H,1;0;0
Pteris intricata,H,1;0;0
Pteris kidoi,H,1;0;0
Pteris kingiana,H,1;0;0
Pteris kiuschiuensis,H,1;0;0
Pteris lancaefolia,H,1;0;0
Pteris lastii,H,1;0;0
Pteris laurea,H,1;0;0
Pteris lechleri,H,1;0;0
Pteris leptophylla,H,1;0;0
Pteris liboensis,H,1;0;0
Pteris linearis,H,1;0;0
Pteris livida,H,1;0;0
Pteris longifolia,H,2;0;0
Pteris longipes,H,1;0;0
Pteris longipinna,H,1;0;0
Pteris longipinnula,H,1;0;0
Pteris maclurioides,H,1;0;0
Pteris majestica,H,1;0;0
Pteris malipoensis,H,1;0;0
Pteris mcclurei,H,1;0;0
Pteris medogensis,H,1;0;0
Pteris menglaensis,H,1;0;0
Pteris microptera,H,1;0;0
Pteris mildbraedii,H,1;0;0
Pteris monghaiensis,H,1;0;0
Pteris morii,H,1;0;0
Pteris multifida,H,2;0;0
Pteris muricatopedata,H,1;0;0
Pteris muricella,H,1;0;0
Pteris nanlingensis,H,1;0;0
Pteris navarrensis,H,1;0;0
Pteris nipponica,H,1;0;0
Pteris obtusiloba,H,1;0;0
Pteris occidentali-sinica,H,1;0;0
Pteris olivacea,H,1;0;0
Pteris orizabae,H,1;0;0
Pteris oshimensis,H,1;0;0
Pteris paradoxa,H,1;0;0
Pteris paucinervata,H,1;0;0
Pteris pearcei,H,1;0;0
Pteris pedata,H,1;0;0
Pteris podophylla,H,2;0;0
Pteris propinqua,H,1;0;0
Pteris pseudodactylina,H,1;0;0
Pteris pseudolonchitis,H,1;0;0
Pteris pteridioides,H,2;0;0
Pteris puberula,H,1;0;0
Pteris pulchra,H,1;0;0
Pteris pungens,H,2;0;0
Pteris quadriaurita,H,1;0;0
Pteris quinquefoliata,H,1;0;0
Pteris remotifolia,H,1;0;0
Pteris rufopilosa,H,1;0;0
Pteris scabristipes,H,1;0;0
Pteris semiadnata,H,1;0;0
Pteris semipinnata,H,2;0;0
Pteris setulosocostulata,H,1;0;0
Pteris shimianensis,H,1;0;0
Pteris sichuanensis,H,1;0;0
Pteris similis,H,1;0;0
Pteris speciosa,H,1;0;0
Pteris spinosa,H,1;0;0
Pteris splendens,H,1;0;0
Pteris splendida,H,1;0;0
Pteris stenophylla,H,1;0;0
Pteris subsimplex,H,1;0;0
Pteris taiwanensis,H,1;0;0
Pteris tibetica,H,1;0;0
Pteris trachyrachis,H,1;0;0
Pteris transparens,H,1;0;0
Pteris tremula,H,2;0;0
Pteris tripartita,H,1;0;0
Pteris undulatipinna,H,1;0;0
Pteris venusta,H,1;0;0
Pteris vieillardii,H,1;0;0
Pteris viridissima,H,1;0;0
Pteris viscosa,H,1;0;0
Pteris vittata,H,2;0;0
Pteris wallichiana,H,3;0;0
Pteris wangiana,H,1;0;0
Pteris woodwardioides,H,1;0;0
Pteris wulaiensis,H,1;0;0
Pteris xichouensis,H,1;0;0
Pteris zahlbruckneriana,H,1;0;0
Pternandra azurea,W,0;0;2
Pternandra caerulescens,W,0;0;4
Pternandra cogniauxii,W,0;0;1
Pternandra cordata,W,0;0;1
Pternandra echinata,W,0;0;2
Pternandra galeata,W,0;0;1
Pternandra hirtella,W,0;0;1
Pternandra jackiana,W,0;0;1
Pternopetalum tanakae,H,1;0;0
Pterocarpus acerifolius,W,0;0;1
Pterocarpus amazonum,W,0;0;2
Pterocarpus angolensis,W,0;0;9
Pterocarpus antunesii,W,0;0;2
Pterocarpus belizensis,W,0;0;2
Pterocarpus brenanii,W,0;0;1
Pterocarpus dalbergioides,W,0;0;2
Pterocarpus erinaceus,W,0;0;1
Pterocarpus hayesii,W,0;0;2
Pterocarpus indicus,W,0;0;11
Pterocarpus lucens,W,0;0;1
Pterocarpus macrocarpus,W,0;0;1
Pterocarpus marsupium,W,0;0;5
Pterocarpus officinalis,W,0;0;15
Pterocarpus osun,W,0;0;1
Pterocarpus rohrii,W,0;0;26
Pterocarpus santalinoides,W,0;0;1
Pterocarpus santalinus,W,0;0;3
Pterocarpus soyauxii,W,0;0;16
Pterocarpus vernalis,W,0;0;3
Pterocarya fraxinifolia,W,0;0;1
Pterocarya hupehensis,W,0;0;1
Pterocarya macroptera,W,0;0;1
Pterocarya paliurus,W,0;0;1
Pterocarya rhoifolia,W,0;0;3
Pterocarya stenoptera,W,0;0;6
Pterocarya tonkinensis,W,0;0;2
Pterocaulon pycnostachyum,H,5;0;0
Pterocaulon sphacelatum,H,2;0;0
Pterocelastrus echinatus,W,0;0;1
Pteroceltis tatarinowii,W,0;0;7
Pterocephalus hookeri,H,1;0;0
Pterocephalus lasiospermus,W,0;0;1
Pteroceras pallidum,H,1;0;0
Pterochaeta paniculata,H,1;0;0
Pterocymbium beccarii,W,0;0;2
Pterocymbium javanicum,W,0;0;1
Pterocymbium oceanicum,W,0;0;1
Pterocymbium tinctorium,W,0;0;2
Pterocymbium tubulatum,W,0;0;2
Pterodon emarginatus,W,0;0;2
Pterodon pubescens,W,0;0;1
Pterogaillonia calycoptera,W,0;0;1
Pterogyne nitens,W,0;0;9
